,,,,,,,,,Prospective Consumer as on 01.09.14,,,,,,,,,,
GOMD,TSC,Sub-Station,Consumer,Initial CD(MVA),Final CD (MVA),Application Date,Feasibility request Received,Feasibility request Sent,Feasibility Report Received,Feasibility Report sent,Detail request Received,Detail request Sent,Detail  Report Received,Detail  Report sent,Latest Status,From,Sent To,Date,Remark
GOMD-IV,TSC-III,GIRIDIH ,Subh Laxmi Multisolution Pvt. Ltd.,0.6,1,29/12/11,24/12/12,24.12.12 18.05.13,11/09/13,12/09/13,23/05/14,24/05/14,30.09.14,08.10.14,Detail Report,CE(TSC),CE(SPE),08.10.14,Report sent to SPE
GOMD-IV,TSC-III,Patherdih,JSEB (Dhaiya),17,17,19.06.2006,,,,,,,,,Feasibility Report ,CE(Coml.),Consumer,10/08/06,Coml./PS/JSEB/Dhaiya/Patherdih/1724   (not Possible)
GOMD-IV,TSC-III,Patherdih,Bihar Ispat Udyog ,1,5,19/06/12,16.07.12 28.12.12,16.07.12 07.01.13 17.05.13,,24/11/12,,,,,Feasibility Report ,CE(Coml.),Consumer,27.02.14,
GOMD-IV,TSC-III,Patherdih,IISCO Ltd. Chasnalla,8,8,06.09.2005,,,,,,,,,Detail Report,CE(Coml.),Consumer,15/09/09,Coml./PS/IISCOL/Chasnala/1875
GOMD-IV,TSC-III,Patherdih,"IISCO, Sitanalla",1,4,29.10.2007,,,,,,30/08/10,,,Silent,CE(TSC),SE(W/Z),30/08/10,CE/TSC/ND-IISCO(SITANALLA)/1350         (TERMINATION POINTS NOT SHOWN BY IISCO)
GOMD-IV,TSC-III,Patherdih,ONGC Ltd. JH#2,1,1,26/09/13,10.12.13 24.03.14,11.12.13 24.03.14,01/04/14,03/04/14,,,,,Feasibility Report,CE(Coml),Consumer,20.06.14,
GOMD-IV,TSC-III,Patherdih,"BCCL, Bastakola",12.5,12.5,22/01/14,22/02/14,,,28/02/14,,,,,Feasibility Report,,,28/02/14,Shifting Metering point from Golukdih to Chand Kuya. Requested to confirm two application from Goluckdih are same or not
GOMD-IV,TSC-III,Patherdih,"Tata Steel, Jamadoba (Enhancement)",7,13,Enhancement,14.11.12 17.11.13,15.11.12 19.01.13 18.05.13,,09/05/14,09/08/14,11/08/14,,04.02.15,Detail Report,CE(TSC),CE(SPE),04.02.15,
GOMD-IV,TSC-III,Patherdih/ Putki-Revised,SAIL JITPUR,4,4,,31/03/14,31/03/14,05/05/14,05/06/14,25.07.14,25.07.14,20.09.14,24.09.14,Detail Report,CE(SPE),CE(Coml.),09.10.14,Second source(feeder) from Putki - Jamadoba line. Report sent
GOMD-IV,TSC-III,Putki,ECR Matkuria,3.5,3.5,24/06/14,10/07/14,11/07/14,22.09.14,23.09.14,17.01.15,19.01.15,,,Detail Requested,CE(TSC),DCE(W/Z),19.01.15,"tapping from loc. 102 (2P) of Putki - HMFL, Bhuli feeder"
