CD AS ON 28.02.2015,,,,,
sl,Name of the,Name of the Consumer,Existing CD ,Total LOAD, No. of  
,,E.Rly(Durgapur),25.000,,"wef.22.12.08,01.05.05",
,,Durga Hi-Tech Cement,6.000,,,
,,,,,,
37,PARULIA,220/33KV:85MVA(1X50+1X35),,182.300,16,
,,Tamla (SAIL)            AT 220 KV,100.000,,wef. 01.10.14,
,,Alaknanda Sponge Iron Pvt. Ltd,2.500,,wef. 19.05.09,
,,Vaishanavi Ispat Pvt. Ltd.,9.500,,"wef.1/1,1/2/09",
,,H. R. Ispat Pvt. Ltd.,6.000,,"wef. 01.04.09,1.6.10",
,,Sharp Ferro Alloys Ltd.,19.500,,wef. 10.08.09,
,,Alishan Steels Pvt. Ltd.,3.500,,disc-21/01,
,,Debeanjana Hard coke Pvt. Ltd.,3.500,,,
,,East India Holdings Pvt. Ltd.,10.000,,1.4.14,
,,R.S.Casting Pvt.Ltd.,3.300,,,
,,K.B.Sponge Iron Ltd.,3.300,,,
,,Sumangal Ispat Pvt. Ltd.,3.500,,,
,,Sova Electrocasting Pvt. Ltd.,5.000,,,
,,Sreevardhana Metaliks Pvt. Ltd.,3.200,,wef.15/2/09,
,,Salasar Ispat  Ltd.,3.000,,,
,,Super Iron Foundry Pvt. Ltd.,1.500,,,
,,Ma Chandi Durga Cement Pvt. Ltd.,5.000,,,
38,MTPS,220/33KV:80MVA(1X80),,63.700,9,-2
,,"WBSEB, Barjora",10.000,,,
,,SRC Metallic Pvt. Ltd.,4.500,,,
,,Shree Sanyeeji Steel & Power Ltd.,10.000,,,
,,GPT Castings Ltd.,2.700,,,
,,Lafarge India Pvt. Ltd.,7.500,,wef.07/01/09,
,,"Lafarge India Pvt. Ltd., U # II",2.000,,,
,,SRC Udyog Ltd.,1.000,,,
,,Nilkanth Ferro Pvt. Ltd.,18.000,,,
,,Capricon Ispat Udyog Pvt. Ltd.,8.000,,,
39,"ASP, Durgapur",132/33KV:100MVA(2X50),,57.300,6,
,,Srinivsaa Ferro Alloys Ltd.,12.600,,,
,,Bhaskar Schrachi Alloys Ltd.,16.000,,
,,Karthik Alloys Ltd.,10.750,,
,,Shivam India Ltd.,15.000,,
,,CP Sponge Iron Pvt. Ltd.,0.950,,
,,"NIT, Durgapur",2.000,,
40,DURGAPUR,220/33KV;210MVA(1X50+2X80),,202.000,20
,,Ultra tech Cement Limited,7.000,,
,,Dinman Polypacks Pvt.Ltd.,0.750,,"wef 01.04,01.08"
,,VSP Udyog Pvt. Ltd.,11.000,,
,,Venky Hi-Tech Ispat Ltd,9.000,,"wef 01.10.09, 22.04.10"
,,Brahm (Alloys) Pvt Ltd,10.000,,"wef.1/10/08,06.06.09"
,,Sree Waris Piya Steel Co.P Ltd.,3.000,,
,,Shri Ramrupai Balaji Steels Ltd,26.000,,
,,Shyam Steel Ind. Ltd. ( formerly Shree Gopal Hi-Tech Pvt Ltd.),15.000,,
,,Neo Metaliks Limited,2.300,,wef 27.12.2008
,,Ramsarup Nirmann Wires,1.000,,"wef.12/10/08 24.06, 24.08.09"
,,Graphite India Ltd.,48.000,,"wef.10/01,9/3/09,01/02/10",
,,Jai Balaji (Temporaray),22.000,,,
,,Mackeil Ispat & Forging Ltd.,2.500,,,
,,Jai Balaji Sponge Limited,10.000,,,
,,Sova Power Ltd.,0.500,,wef 04.11.2010,
,,Jai Venkatesh ,11.000,,,
,,Ruhr Ispat Pvt. Ltd.,1.250,,,
,,Shivam Meltek Pvt. Ltd.,13.700,,,
,,Jaishree Steels Pvt Ltd,5.000,,,
,,Saran Alloys Pvt. Ltd.,3.000,,wef 01.12.2012,
41,BARJORA,"220/33 ;200MVA(2x50 + 100MVA) ,     220/ 132; 300MVA    (2X150)",,199.445,21,
,,Surya Alloy Industries Ltd.,12.000,,"wef. 05.04.09,07.02.10,01.06.11",
,,BDG & Sons Pvt. Ltd.,35.500,,"wef. 01.05.09, 19.01,12.05",
,,Tulip Fabrics Alloys Ltd.,0.320,,"wef. 02.06.09,10.05.10",
,,Expandable Enterprises(P) Ltd.,3.150,,,
,,Steelex Electrocast (P) Ltd,6.300,,,
,,Cosmic Ferro Alloys Pvt. Ltd,27.500,,"wef.20/12/08, 15/2/09"
,,G & A Metals,7.000,,wef.01.08.08
,,Times Ferro Alloy Ltd.,4.800,,wef.8/2/09
,,Rattan Ispat Pvt. Ltd.,4.000,,
,,Lalwani Ferro Alloys Ltd.,19.125,,"wef.1/1,22/2,1/5,15.12.09,01.02.10,1/1/11"
,,Shriram Rathi Steels Pvt. Ltd.,2.200,,"wef 26.04,16.09.09"
,,Kharkia Steel Pvt. Ltd.,12.700,,wef 01.02.10
,,Surya Alloy Industries Ltd. U#2,3.400,,"wef 28.03,1.6.10"
,,SBIW Steels Pvt. Ltd.,2.200,,wef 6/7/10
,,Jai Ambey Metals Pvt. Ltd.,3.500,,
,,Arjan Dass & Sons Pvt. Ltd.,3.100,,wef 1.6.10
,,Sonic Thermal Ltd.  (132 KV),18.000,,"w.e.f.10.01.11,01.02.11"
,,H.P.Ispat (P) Ltd. ,6.850,,"wef.11/01/09,1/1/11"
,,Xpro India Limited,1.800,,
,,SHREE AMBEY ISPAT PVT. LTD.(132 KV),8.000,,wef 01.05.14
,,Dimension Steel & Alloys Pvt. Ltd.,18.000,,wef 27/09/2011
CD AS ON 28.02.2015,,,3324.095,3324.095,291,
,,,,,,
,,"No. of Consumers,  Voltage & Connected Load",,,,
,,,,,,
,,Connected  Load in Jharkhand (Command Area) (In MVA)         ,,,,
,,Inside Valley,,No. Of Consumers /off-take points.,,
,,At 220 KV Level,65.00,1,,
,,At 132 KV Level,482.75,16,,
,,At 33 KV Level,964.86,130,,
,,TOTAL,1512.61,147,46.25,
,,Outside Valley,,,,
,,At 220 KV Level,0.00,,,
,,At 132 KV Level,128.40,2,,
,,At 33 KV Level,36.00,2,,
,,TOTAL,164.40,4,,
,,GRAND TOTAL,1677.01,151,,

,JSERC DATA,,,
,,JSEB,,
,,33 KV,437.30,33
,,132 KV,18.40,2
,,220 KV,0,
,,TOTAL,455.7,35
,,JUSCO (33 KV),20,1
,,BSL (132 KV),200.000,1
,,TATA STEEL (132 KV),120,1
,,,,
,,INDIAN RAILWAYS (132 KV),184.500,10
,OTHER INDUSTRIAL CONSUMERS,,,
,,33 KV,543.56,98
,,132 KV,88.25,4
,,220 KV,65,1
,,TOTAL,696.81,103
,LT & COMML. CONSUMERS,,,
,GRAND TOTAL,,1677.01,151
,,,,
,WBERC DATA,,,
,,WBSEDCL,,
,,33 KV,135.8,8
,,132 KV,50.04,3
,,220 KV,0.0,0
,,TOTAL,185.84,11
,,,,
,,DPSC LTD.,127.500,4
,,,,
,,INDIAN RAILWAYS,,
,,132 KV,61.5,3
,OTHER INDUSTRIAL CONSUMERS,,,
,,33 KV,767.345,106
,,132 KV,117,6
,,220 KV,220,2
,,TOTAL,1104.35,114
,LT & COMML. CONSUMERS,,,0
,GRAND TOTAL,,1479.2,132
,,,,
,,,,
,DVC as a whole ,,,
,,33 KV,2031.505,250
,,132 KV,839.69,30
,,220 KV,285,3
,,TOTAL,3156.195,283

,Industrial,JH<1 MVA,114,17
,,JH>1 MVA & above,3.7,2

,,WB<1 MVA,41.12,8
,,WB>1 MVA & above,22.025,4
